host_unix,host_time,seq,up_ms,temp_c,press_hpa,alt_baro_m,alt_fused_m,vel_m_s,az_m_s2,lax_m_s2,lay_m_s2,laz_m_s2,gx_m_s2,gy_m_s2,gz_m_s2,heading,roll,pitch,calib,vstate,elev,servo_deg
1782883804.114877,14:30:04.114,9163,129.756,0.38,34722.89,504084.481,-1542868.48,-704642.678,-754974.719,0.001,-23.04,-0.001,-5.633,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,105.07
1782883804.221122,14:30:04.221,9166,94.569,24.82,1010.28,0.47,0.466,-0.068,0.0,-30.298,0.038,-1.119,0.052,-18.431,2.571,455.68,-235.43,3.94,0,214,1,0.0
1782883804.221155,14:30:04.221,9167,95.034,0.0,42949672.28,0.0,2525.606,3472.289,285980.673,-19.968,-23.543,0.394,-10.752,0.001,-12.032,0.01,-174.08,-0.01,255,0,0,0.0
1782883804.221167,14:30:04.221,9168,129.807,0.38,34722.89,470530.049,-1542868.48,-704642.678,-805306.367,0.001,-17.664,-0.001,-14.081,-0.001,-22.785,98.65,-243.2,135.63,0,1,184,94.83
1782883804.221179,14:30:04.221,9169,140.137,-235.43,35903246.18,-788529.151,-855638.015,-922746.881,-1493172.225,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-122.88
1782883804.221501,14:30:04.221,9172,94.629,24.82,1010.28,0.47,0.463,-0.051,0.0,-30.298,0.038,-1.119,0.052,-18.431,1.803,455.68,-235.43,3.94,0,214,1,0.0
1782883804.221516,14:30:04.221,9173,95.092,0.0,42949672.45,0.0,2525.606,3472.289,319535.105,-19.968,-23.543,0.394,-10.752,0.001,-12.544,0.01,-133.12,-0.01,255,243,255,-0.01
1782883804.221527,14:30:04.221,9174,129.867,0.38,34722.89,504084.481,-1542868.48,-704642.678,-805306.367,0.001,-9.984,-0.001,0.255,0.0,-23.04,98.65,-243.2,135.63,0,1,184,99.95
1782883804.221538,14:30:04.221,9175,140.197,-235.43,35903246.18,-822083.583,-654311.423,16777.215,-1509949.44,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-125.44
1782883804.328094,14:30:04.328,9178,94.688,24.82,1010.28,0.47,0.462,-0.039,0.0,-30.298,0.038,-1.119,0.052,-18.431,2.315,455.68,-235.43,3.94,0,214,1,0.0
1782883804.328346,14:30:04.328,9179,95.15,0.0,42949672.57,-0.015,2525.606,3472.289,336312.321,-19.968,-23.543,0.394,-10.752,0.001,-12.544,0.01,-74.24,-0.01,255,0,0,0.0
1782883804.328408,14:30:04.328,9180,129.926,0.38,34722.89,504084.481,-1542868.48,-704642.678,-822083.583,0.001,-7.424,-0.001,0.255,0.0,-23.04,98.65,-243.2,135.63,0,1,184,102.51
1782883804.328425,14:30:04.328,9181,140.256,-235.43,35903246.18,-822083.583,-486539.263,16777.215,-1509949.44,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-128.0
1782883804.434845,14:30:04.434,9184,94.747,24.82,1010.28,0.47,0.462,-0.029,-0.005,-30.298,0.038,-1.119,0.052,-18.431,2.827,455.68,-235.43,3.94,0,214,1,0.0
1782883804.434887,14:30:04.434,9185,95.211,0.0,42949672.74,0.0,2525.606,3472.289,319535.105,-19.968,-23.543,0.394,-10.752,0.001,-12.288,0.01,-56.32,-0.01,255,0,0,0.0
1782883804.434905,14:30:04.434,9186,129.985,0.38,34722.89,520861.697,-1542868.48,-704642.678,-822083.583,0.001,-5.632,-0.001,0.255,0.0,-23.04,98.65,-243.2,135.63,0,1,184,105.07
1782883804.434920,14:30:04.434,9187,140.315,-235.43,35903246.18,-822083.583,-369098.751,16777.215,-1509949.44,9.865,-24.32,13.563,0.256,3.0,0.05,24.82,-300.44,0.01,214,1,0,-125.44
1782883804.435264,14:30:04.435,9190,94.81,24.82,1010.28,0.47,0.464,-0.017,-0.019,-30.298,0.038,-1.119,0.052,-18.431,2.059,455.68,-235.43,3.94,0,214,1,0.0
1782883804.435282,14:30:04.435,9191,95.274,0.0,42949672.79,0.0,2525.606,3472.289,302757.889,-19.968,-23.543,0.394,-10.752,0.001,-12.288,0.01,-43.52,-0.01,255,0,0,0.0
